Category;Policy name;Property;Value
Above Lock;Voice activate apps from locked screen;Baseline default;Disabled
Above Lock;Block display of toast notifications;Baseline default;Yes
App Runtime;Microsoft accounts optional for Microsoft store apps;Baseline default;Enabled
Application Management;Block app installations with elevated privileges;Baseline default;Yes
Application Management;Block user control over installations;Baseline default;Yes
Application Management;Block game DVR (desktop only);Baseline default;Yes
Audit;Account Logon Audit Credential Validation (Device);Baseline default;Success and Failure
Audit;Account Logon Audit Kerberos Authentication Service (Device);Baseline default;None
Audit;Account Logon Logoff Audit Account Lockout (Device);Baseline default;Failure
Audit;Account Logon Logoff Audit Logon (Device);Baseline default;Success and Failure
Audit;Account Logon Logoff Audit Group Membership (Device);Baseline default;Success
Audit;Audit Other Logon Logoff Events (Device);Baseline default;Success and Failure
Audit;Audit Special Logon (Device);Baseline default;Success
Audit;Audit Security Group Management (Device);Baseline default;Success
Audit;Audit User Account Management (Device);Baseline default;Success and Failure
Audit;Detailed Tracking Audit PNP Activity (Device);Baseline default;Success
Audit;Detailed Tracking Audit Process Creation (Device);Baseline default;Success
Audit;Object Access Audit Detailed File Share (Device);Baseline default;Failure
Audit;Audit File Share Access (Device);Baseline default;Success and Failure
Audit;Object Access Audit Other Object Access Events (Device);Baseline default;Success and Failure
Audit;Object Access Audit Removable Storage (Device);Baseline default;Success and Failure
Audit;Audit Authentication Policy Change (Device);Baseline default;Success
Audit;Policy Change Audit MPSSVC Rule Level Policy Change (Device);Baseline default;Success and Failure
Audit;Policy Change Audit Other Policy Change Events (Device);Baseline default;Failure
Audit;Audit Changes to Audit Policy (Device);Baseline default;Success
Audit;Privilege Use Audit Sensitive Privilege Use (Device);Baseline default;Success and Failure
Audit;System Audit Other System Events (Device);Baseline default;Success and Failure
Audit;System Audit Security State Change (Device);Baseline default;Success
Audit;Audit Security System Extension (Device);Baseline default;Success
Audit;System Audit System Integrity (Device);Baseline default;Success and Failure
Auto Play;Auto play default auto run behavior;Baseline default;Do not execute
Auto Play;uto play mode;Baseline default;Disabled
Auto Play;lock auto play for non-volume devices;Baseline default;Enabled
BitLocker;BitLocker removable drive policy;Baseline default;Configure
BitLocker;lock write access to removable data-drives not protected by BitLocker;Baseline default;Yes
Browser;Block Password Manager;Baseline default;Yes
Browser;equire SmartScreen for Microsoft Edge Legacy;Baseline default;Yes
Browser;Block malicious site access;Baseline default;Yes
Browser;Block unverified file download;Baseline default;Yes
Browser;Prevent user from overriding certificate errors;Baseline default;Yes
Connectivity;Configure secure access to UNC paths;Baseline default;Configure Windows to only allow access to the specified UNC paths after fulfilling additional security requirements
Connectivity;Hardened UNC path list;Baseline default;Not configured by default.
Connectivity;Block downloading of print drivers over HTTP;Baseline default;Enabled
Connectivity;Block Internet download for web publishing and online ordering wizards;Baseline default;Enabled
Credentials Delegation;Remote host delegation of non-exportable credentials;Baseline default;Enabled
Credentials UI;Enumerate administrators;Baseline default;Disabled
Data Protection;Block direct memory access;Baseline default;Yes
Device Guard;Virtualization based security;Baseline default;Enable VBS with secure boot
